DoubleRing,Phone,QWERTY,SingleRing
5762,4862,2731,4963
1665,1332,1433,1965
3897,3830,2598,4363
6696,6527,3367,9025
4596,4629,2065,4929
5197,4696,2365,5929
3898,3264,1766,3898
2396,1498,996,2332
6595,6461,3430,7462
7194,4896,3163,6495
1499,1399,666,1296
5029,5795,2931,5998
3332,1832,1263,3298
4495,3164,2098,3864
2767,2598,1565,3065
1699,2231,1066,2498
1599,1131,667,1733
9094,7526,4829,8193
2863,2731,1399,3697
1299,1399,699,1565
799,1598,932,1133
3897,2098,1432,2799
4664,4096,2264,3664
1899,2232,1400,2031
3997,3731,3663,4829
4097,3330,1332,2965
1598,2832,899,2231
1099,896,668,999
2098,2731,1698,3535
4196,4396,2098,4496
1599,1665,1132,1665
6928,5462,3230,5296
3565,4397,2265,5863
2898,4231,1832,3796
1966,1765,1699,1633
5229,3595,2531,4363
2566,2997,1329,2098
2298,2931,1698,2565
3365,2532,1200,3530
4630,3631,1868,3931
1065,1165,601,832
1499,2565,1199,2498
1399,1731,1300,2400
599,1398,732,1132
3064,2864,1530,3531
2264,3563,1666,2898
4464,2764,1833,3863
4230,3164,2165,3930
2931,2997,1532,3496
,,,
3397.44898,3166.489796,1812.755102,3562.653061
