DoubleRing,Phone,QWERTY,SingleRing
8620,10498,7762,9360
4498,3071,1970,2372
6274,6625,6846,6962
10225,11711,7519,16687
6561,8355,6995,8464
6848,7423,6286,8812
4735,5186,4097,5728
3375,2640,2767,3170
8865,11326,8135,12725
7984,10222,8846,10441
2098,1265,1727,2159
9457,8095,5913,9825
4098,4465,4773,5395
6465,6104,4832,8193
4495,5367,4098,5647
3458,2927,2895,3826
1912,1348,1616,2272
13427,14388,11086,17282
4924,4528,4687,4924
1537,1233,1232,1348
1233,1788,1473,2266
4461,4520,4239,4784
6849,7119,6318,9057
3446,4191,3601,3760
7821,8399,7752,9025
3792,4831,3438,4446
2658,2960,2336,3537
865,1327,1392,1296
6653,5423,4622,3949
6463,7967,5760,8626
2127,3074,2291,3537
8354,8387,7455,10914
5997,8095,5871,7393
5166,6926,5200,7517
2719,2257,2496,2925
6684,6126,6626,8000
3917,4431,4032,5007
4590,5330,3536,4963
3418,5064,3902,4624
6896,6466,5761,7048
1281,1072,1439,1044
3362,3168,2304,3170
2862,3427,2369,3390
1539,1530,1183,1725
4768,3969,4335,6383
4208,4305,3967,4927
5601,5423,5071,6190
4830,4925,4623,7200
5266,5359,4770,6271
,,,
5054.734694,5400.734694,4535.591837,6093.183673
