the
0,62,32
21.633307652783937,80,44
65.31396698846704,38,32
of
0,110,32
55.31726674375732,56,44
and
0,20,44
67.08203932499369,86,56
110.76269866067679,44,44
to
0,62,32
48.0,110,32
in
0,98,32
26.832815729997478,86,56
for
0,56,44
55.31726674375732,110,32
115.31726674375733,50,32
is
0,98,32
67.08203932499369,32,44
on
0,110,32
33.94112549695428,86,56
that
0,62,32
21.633307652783937,80,44
81.63330765278394,20,44
125.31396698846706,62,32
by
0,74,56
24.0,74,32
this
0,62,32
21.633307652783937,80,44
43.266615305567875,98,32
110.34865463056155,32,44
with
0,26,32
72.0,98,32
108.0,62,32
129.63330765278394,80,44
you
0,74,32
36.0,110,32
60.0,86,32
it
0,98,32
36.0,62,32
not
0,86,56
33.94112549695428,110,32
81.94112549695427,62,32
or
0,110,32
60.0,50,32
be
0,74,56
43.266615305567875,38,32
are
0,20,44
32.31098884280702,50,32
44.31098884280702,38,32
from
0,56,44
13.416407864998739,50,32
73.41640786499875,110,32
100.24922359499622,98,56
at
0,20,44
43.68065933568311,62,32
as
0,20,44
12.0,32,44
your
0,74,32
36.0,110,32
60.0,86,32
96.0,50,32
all
0,20,44
96.0,116,44
96.0,116,44
have
0,80,44
60.0,20,44
103.68065933568312,62,56
137.6217848326374,38,32
new
0,86,56
53.665631459994955,38,32
65.66563145999496,26,32
more
0,98,56
26.832815729997478,110,32
86.83281572999748,50,32
98.83281572999748,38,32
an
0,20,44
67.08203932499369,86,56
was
0,26,32
13.416407864998739,20,44
25.41640786499874,32,44
we
0,26,32
12.0,38,32
will
0,26,32
72.0,98,32
93.63330765278394,116,44
93.63330765278394,116,44
home
0,80,44
32.31098884280702,110,32
59.1438045728045,98,56
123.76578225841854,38,32
can
0,50,56
32.31098884280702,20,44
99.39302816780071,86,56
us
0,86,32
55.31726674375732,32,44
about
0,20,44
55.31726674375732,74,56
98.5838820493252,110,32
122.5838820493252,86,32
146.5838820493252,62,32
if
0,98,32
43.68065933568311,56,44
page
0,122,32
102.70345661174214,20,44
150.70345661174213,68,44
183.01444545454916,38,32
my
0,98,56
33.94112549695428,74,32
has
0,80,44
60.0,20,44
72.0,32,44
search
0,32,44
13.416407864998739,38,32
35.04971551778267,20,44
67.3607043605897,50,32
91.3607043605897,50,56
123.67169320339671,80,44
free
0,56,44
13.416407864998739,50,32
25.41640786499874,38,32
25.41640786499874,38,32
but
0,74,56
26.832815729997478,86,32
50.83281572999748,62,32
our
0,110,32
24.0,86,32
60.0,50,32
one
0,110,32
33.94112549695428,86,56
87.60675695694923,38,32
other
0,110,32
48.0,62,32
69.63330765278394,80,44
113.31396698846706,38,32
125.31396698846706,50,32
do
0,44,44
67.08203932499369,110,32
no
0,86,56
33.94112549695428,110,32
information
0,98,32
26.832815729997478,86,56
59.1438045728045,56,44
114.46107131656183,110,32
174.46107131656183,50,32
228.12670277655678,98,56
307.04438140435224,20,44
350.72504074003535,62,32
386.72504074003535,98,32
398.72504074003535,110,32
432.6661662369896,86,56
time
0,62,32
36.0,98,32
60.0,98,56
124.62197768561404,38,32
they
0,62,32
21.633307652783937,80,44
65.31396698846704,38,32
101.31396698846704,74,32
site
0,32,44
67.08203932499369,98,32
103.08203932499369,62,32
127.08203932499369,38,32
he
0,80,44
43.68065933568311,38,32
up
0,86,32
36.0,122,32
may
0,98,56
78.91767862779544,20,44
134.23494537155275,74,32
what
0,26,32
55.31726674375732,80,44
115.31726674375733,20,44
158.99792607944045,62,32
which
0,26,32
55.31726674375732,80,44
76.95057439654126,98,32
130.61620585653623,50,56
162.92719469934326,80,44
their
0,62,32
21.633307652783937,80,44
65.31396698846704,38,32
125.31396698846704,98,32
173.31396698846703,50,32
news
0,86,56
53.665631459994955,38,32
65.66563145999496,26,32
79.0820393249937,32,44
out
0,110,32
24.0,86,32
48.0,62,32
use
0,86,32
55.31726674375732,32,44
68.73367460875606,38,32
any
0,20,44
67.08203932499369,86,56
93.91485505499116,74,32
there
0,62,32
21.633307652783937,80,44
65.31396698846704,38,32
77.31396698846704,50,32
89.31396698846704,38,32
see
0,32,44
13.416407864998739,38,32
13.416407864998739,38,32
only
0,110,32
33.94112549695428,86,56
66.2521143397613,116,44
109.93277367544442,74,32
so
0,32,44
78.91767862779544,110,32
his
0,80,44
21.633307652783937,98,32
88.71534697777763,32,44
when
0,26,32
55.31726674375732,80,44
98.99792607944043,38,32
152.66355753943537,86,56
contact
0,50,56
64.62197768561404,110,32
98.56310318256831,86,56
132.50422867952258,62,32
176.1848880152057,20,44
208.4958768580127,50,56
235.3286925880102,62,32
here
0,80,44
43.68065933568311,38,32
55.68065933568311,50,32
67.68065933568312,38,32
business
0,74,56
26.832815729997478,86,32
82.1500824737548,32,44
149.2321217987485,98,32
176.064937528746,86,56
229.73056898874094,38,32
243.1469768537397,32,44
243.1469768537397,32,44
who
0,26,32
55.31726674375732,80,44
87.62825558656434,110,32
web
0,26,32
12.0,38,32
55.266615305567875,74,56
also
0,20,44
96.0,116,44
180.0,32,44
258.91767862779545,110,32
now
0,86,56
33.94112549695428,110,32
117.94112549695427,26,32
help
0,80,44
43.68065933568311,38,32
122.59833796347854,116,44
136.0147458284773,122,32
get
0,68,44
32.31098884280702,38,32
56.31098884280702,62,32
pm
0,122,32
33.94112549695428,98,56
view
0,62,56
43.266615305567875,98,32
103.26661530556788,38,32
115.26661530556788,26,32
online
0,110,32
33.94112549695428,86,56
66.2521143397613,116,44
87.88542199254525,98,32
114.71823772254272,86,56
168.3838691825377,38,32
first
0,56,44
43.68065933568311,98,32
