DoubleRing,,Phone,,QWERTY,,SingleRing,
1.42845E+12,53,1.42845E+12,101,1.42845E+12,67,1.42845E+12,108
1.42845E+12,86,1.42845E+12,118,1.42845E+12,112,1.42845E+12,74
1.42845E+12,75,1.42845E+12,119,1.42845E+12,40,1.42845E+12,112
1.42845E+12,101,1.42845E+12,21,1.42845E+12,92,1.42845E+12,245
1.42845E+12,74,1.42845E+12,135,1.42845E+12,103,1.42845E+12,139
1.42845E+12,116,1.42845E+12,26,1.42845E+12,24,1.42845E+12,139
1.42845E+12,102,1.42845E+12,83,1.42845E+12,58,1.42845E+12,84
1.42845E+12,71,1.42845E+12,115,1.42845E+12,42,1.42845E+12,21
1.42845E+12,97,1.42845E+12,23,1.42845E+12,77,1.42845E+12,77
1.42845E+12,128,1.42845E+12,31,1.42845E+12,79,1.42845E+12,58
1.42845E+12,45,1.42845E+12,85,1.42845E+12,85,1.42845E+12,130
1.42845E+12,13,1.42845E+12,169,1.42845E+12,110,1.42845E+12,36
1.42845E+12,99,1.42845E+12,91,1.42845E+12,99,1.42845E+12,95
1.42845E+12,73,1.42845E+12,51,1.42845E+12,70,1.42845E+12,134
1.42845E+12,70,1.42845E+12,23,1.42845E+12,20,1.42845E+12,16
1.42845E+12,53,1.42845E+12,185,1.42845E+12,38,1.42845E+12,121
1.42845E+12,191,1.42845E+12,52,1.42845E+12,83,1.42845E+12,155
1.42845E+12,103,1.42845E+12,75,1.42845E+12,46,1.42845E+12,27
1.42845E+12,106,1.42845E+12,89,1.42845E+12,68,1.42845E+12,76
1.42845E+12,61,1.42845E+12,59,1.42845E+12,60,1.42845E+12,96
1.42845E+12,90,1.42845E+12,81,1.42845E+12,24,1.42845E+12,20
1.42845E+12,43,1.42845E+12,164,1.42845E+12,21,1.42845E+12,50
1.42845E+12,30,1.42845E+12,221,1.42845E+12,25,1.42845E+12,148
1.42845E+12,105,1.42845E+12,87,1.42845E+12,27,1.42845E+12,246
1.42845E+12,59,1.42845E+12,132,1.42845E+12,79,1.42845E+12,112
1.42845E+12,69,1.42845E+12,135,1.42845E+12,118,1.42845E+12,69
1.42845E+12,143,1.42845E+12,90,1.42845E+12,127,1.42845E+12,76
1.42845E+12,33,1.42845E+12,18,1.42845E+12,77,1.42845E+12,89
1.42845E+12,42,1.42845E+12,76,1.42845E+12,94,1.42845E+12,34
1.42845E+12,79,1.42845E+12,90,1.42845E+12,78,1.42845E+12,61
1.42845E+12,53,1.42845E+12,130,1.42845E+12,57,1.42845E+12,88
1.42845E+12,24,1.42845E+12,108,1.42845E+12,106,1.42845E+12,53
1.42845E+12,20,1.42845E+12,38,1.42845E+12,33,1.42845E+12,50
1.42845E+12,71,1.42845E+12,76,1.42845E+12,49,1.42845E+12,187
1.42845E+12,54,1.42845E+12,71,1.42845E+12,39,1.42845E+12,36
1.42845E+12,124,1.42845E+12,107,1.42845E+12,123,1.42845E+12,72
1.42845E+12,95,1.42845E+12,54,1.42845E+12,29,1.42845E+12,56
1.42845E+12,130,1.42845E+12,50,1.42845E+12,66,1.42845E+12,162
1.42845E+12,150,1.42845E+12,90,1.42845E+12,94,1.42845E+12,131
1.42845E+12,33,1.42845E+12,132,1.42845E+12,65,1.42845E+12,99
1.42845E+12,24,1.42845E+12,75,1.42845E+12,72,1.42845E+12,78
1.42845E+12,76,1.42845E+12,136,1.42845E+12,39,1.42845E+12,60
1.42845E+12,99,1.42845E+12,72,1.42845E+12,140,1.42845E+12,128
1.42845E+12,53,1.42845E+12,45,1.42845E+12,117,1.42845E+12,37
1.42845E+12,119,1.42845E+12,179,1.42845E+12,167,1.42845E+12,56
1.42845E+12,19,1.42845E+12,53,1.42845E+12,95,1.42845E+12,46
1.42845E+12,64,1.42845E+12,100,1.42845E+12,68,1.42845E+12,126
1.42845E+12,65,1.42845E+12,67,1.42845E+12,123,1.42845E+12,105
1.42845E+12,81,1.42845E+12,22,1.42845E+12,78,1.42845E+12,115
,90.3,1.42845E+12,77.2,1.42845E+12,69.4,1.42845E+12,105.7
,73.35897436,1.42845E+12,91.74358974,1.42845E+12,74.58974359,1.42845E+12,89.12820513
