DoubleRing,,Phone,,QWERTY,,SingleRing,
1.42853E+12,45,1.42853E+12,56,1.42853E+12,22,1.42852E+12,303
1.42853E+12,47,1.42853E+12,46,1.42853E+12,78,1.42852E+12,250
1.42853E+12,70,1.42853E+12,114,1.42853E+12,21,1.42852E+12,52
1.42853E+12,17,1.42853E+12,14,1.42853E+12,46,1.42852E+12,40
1.42853E+12,23,1.42853E+12,76,1.42853E+12,56,1.42852E+12,134
1.42853E+12,61,1.42853E+12,44,1.42853E+12,112,1.42852E+12,183
1.42853E+12,80,1.42853E+12,63,1.42853E+12,46,1.42852E+12,121
1.42853E+12,76,1.42853E+12,204,1.42853E+12,42,1.42852E+12,60
1.42853E+12,120,1.42853E+12,51,1.42853E+12,36,1.42852E+12,29
1.42853E+12,92,1.42853E+12,20,1.42853E+12,30,1.42852E+12,78
1.42853E+12,191,1.42853E+12,70,1.42853E+12,25,1.42852E+12,79
1.42853E+12,17,1.42853E+12,124,1.42853E+12,94,1.42852E+12,117
1.42853E+12,114,1.42853E+12,70,1.42853E+12,113,1.42852E+12,271
1.42853E+12,45,1.42853E+12,81,1.42853E+12,99,1.42852E+12,23
1.42853E+12,84,1.42853E+12,68,1.42853E+12,42,1.42852E+12,93
1.42853E+12,64,1.42853E+12,68,1.42853E+12,113,1.42852E+12,155
1.42853E+12,49,1.42853E+12,175,1.42853E+12,68,1.42852E+12,41
1.42853E+12,70,1.42853E+12,28,1.42853E+12,54,1.42852E+12,79
1.42853E+12,32,1.42853E+12,149,1.42853E+12,178,1.42852E+12,129
1.42853E+12,173,1.42853E+12,41,1.42853E+12,100,1.42852E+12,37
1.42853E+12,18,1.42853E+12,94,1.42853E+12,133,1.42852E+12,68
1.42853E+12,55,1.42853E+12,48,1.42853E+12,75,1.42852E+12,166
1.42853E+12,48,1.42853E+12,89,1.42853E+12,69,1.42852E+12,78
1.42853E+12,61,1.42853E+12,117,1.42853E+12,87,1.42852E+12,191
1.42853E+12,103,1.42853E+12,106,1.42853E+12,77,1.42852E+12,186
1.42853E+12,50,1.42853E+12,134,1.42853E+12,81,1.42852E+12,83
1.42853E+12,50,1.42853E+12,108,1.42853E+12,18,1.42852E+12,109
1.42853E+12,81,1.42853E+12,116,1.42853E+12,82,1.42852E+12,86
1.42853E+12,36,1.42853E+12,22,1.42853E+12,81,1.42852E+12,59
1.42853E+12,83,1.42853E+12,64,1.42853E+12,64,1.42852E+12,108
1.42853E+12,61,1.42853E+12,114,1.42853E+12,160,1.42852E+12,85
1.42853E+12,30,1.42853E+12,191,1.42853E+12,98,1.42852E+12,158
1.42853E+12,37,1.42853E+12,99,1.42853E+12,61,1.42852E+12,37
1.42853E+12,52,1.42853E+12,23,1.42853E+12,62,1.42852E+12,84
1.42853E+12,113,1.42853E+12,69,1.42853E+12,70,1.42852E+12,17
1.42853E+12,79,1.42853E+12,26,1.42853E+12,28,1.42852E+12,139
1.42853E+12,20,1.42853E+12,112,1.42853E+12,92,1.42852E+12,69
1.42853E+12,132,1.42853E+12,187,1.42853E+12,65,1.42852E+12,166
1.42853E+12,126,1.42853E+12,105,1.42853E+12,71,1.42853E+12,117
1.42853E+12,25,1.42853E+12,64,1.42853E+12,109,1.42853E+12,72
1.42853E+12,73,1.42853E+12,54,1.42853E+12,43,1.42853E+12,89
1.42853E+12,19,1.42853E+12,38,1.42853E+12,107,1.42853E+12,137
1.42853E+12,57,1.42853E+12,28,1.42853E+12,131,1.42853E+12,121
1.42853E+12,137,1.42853E+12,150,1.42853E+12,21,1.42853E+12,97
1.42853E+12,88,1.42853E+12,81,1.42853E+12,113,1.42853E+12,32
1.42853E+12,64,1.42853E+12,68,1.42853E+12,145,1.42853E+12,81
1.42853E+12,112,1.42853E+12,108,1.42853E+12,44,1.42853E+12,48
1.42853E+12,131,1.42853E+12,62,1.42853E+12,66,1.42853E+12,217
1.42853E+12,54,1.42853E+12,68,1.42853E+12,70,1.42853E+12,7
,63.1,1.42853E+12,68.8,1.42853E+12,48.9,1.42852E+12,125
,72.66666667,1.42853E+12,87.66666667,1.42853E+12,82.28205128,1.42852E+12,100.7948718
