,DoubleRing,Phone,QWERTY
,6.372325898953118,5.5134390075809785,7.951408061844285
,9.862338196013972,5.714285714285714,12.865183596890914
,20.0,4.626951995373048,7.562628013234599
,6.213324128408699,12.596221133659903,10.269576379974326
,7.950530035335689,11.970074812967582,11.475932419509085
,5.548170837427036,5.238802060595477,11.032791909285933
,8.02675585284281,6.224066390041494,9.848751319029194
,5.860090343059455,6.214396685655101,10.804321728691477
,8.088978766430738,7.588532883642496,9.246773261413987
,7.916872835230084,5.2999631947000365,11.359026369168356
,8.884501480750247,6.769716800180526,8.733624454148472
,7.203498842294829,6.383827636653811,9.900990099009901
,9.28313563692625,18.95734597156398,13.441612993559227
,7.845701209545603,6.587524874768407,8.258774948382657
,9.124484032152944,7.890410958904109,4.476359227828033
,7.960727079739949,6.088897909478384,10.695187165775401
,6.7387336796293695,7.598543612474276,8.786917256529168
,25.91792656587473,5.0761421319796955,9.48116934421912
,6.12736158727843,4.544593826926718,44.6927374301676
,5.782017924255565,7.594936708860759,17.316017316017316
,10.304851867754401,17.964071856287426,9.917355371900827
,7.211538461538462,8.18274803954995,14.9812734082397
,7.3081607795371495,8.02139037433155,16.028495102404275
,6.317451961042379,4.615384615384615,10.572687224669604
,9.123740733700817,5.0801330511037195,9.783938035059112
,7.6109936575052854,6.11387084447841,10.598366085228527
,6.880339430078551,6.5448595582219795,8.374040474528961
,12.018027040560842,8.885127988153164,12.131423757371525
,8.982035928143713,5.319148936170213,9.918994875185982
,9.74025974025974,14.423076923076923,8.621309002083484
,9.90507635163021,6.157003591585428,8.591372829783426
,8.382815228780998,6.831378799954457,10.91901728844404
,8.503602220385025,9.48116934421912,10.224368077250782
,14.101057579318448,9.248554913294798,12.426648256817398
,7.073386383731211,7.207207207207207,9.414533686378347
,10.350776308223116,10.0,8.709853021230266
,5.3097345132743365,7.952286282306163,8.56989823245849
,14.414414414414415,13.9426800929512,16.75977653631285
,9.25925925925926,7.109531215285492,6.571741511500548
,9.004502251125563,9.092057077913879,13.48314606741573
,9.714632665452337,8.663008951775916,10.450685826257349
,4.39882697947214,11.204481792717086,15.810276679841897
,6.428571428571429,11.627906976744185,9.495548961424332
,7.004669779853235,6.061371385275919,8.533116619260463
,5.1474530831099194,5.8626465661641545,10.169491525423728
,6.32577754348972,6.393521231818424,14.40576230492197
,10.738255033557047,6.856583136070525,26.563364692861096
,8.2930200414651,7.831620166421929,7.753190114682604
,9.74025974025974,8.115785202218314,12.338062924120914
,8.19000819000819,7.984031936127744,10.88139281828074
,13.5236664162284,7.210455159981974,9.00804289544236
,12.569832402234637,14.414414414414415,7.613408057523528
,8.334056775761784,8.437123342707915,9.093664746892998
,11.272898074213245,9.047499371701432,12.435233160621761
,8.406893652795292,9.615384615384615,12.192024384048768
,7.825236387349201,7.287080613329285,11.278195488721805
,9.900990099009901,8.507621410847218,10.500525026251312
,10.909090909090908,8.381351492928236,7.6405311988357285
,7.59974667511083,9.241432422025413,9.109888024293035
,12.332990750256938,10.260795211628901,8.573469873779471
AVG0,9.035373746607476,7.754442649434572,11.909989164733952
AVG1,9.090101205513196,7.423933715514627,10.829911942213194
AVG2,8.932843831364497,8.608584035573784,11.192293766174291
AVG,9.019439594495058,8.650205770014182,11.310731624373812
