raw_x,raw_y,smoothed_x,smoothed_y,fix
0.213887,-0.0320592,0.213887,-0.0320592,0
-0.00558659,-0.0480888,-0.00558659,-0.0480888,0
-0.00399042,-0.0147965,0.0207502,-0.0246609,0
-0.0103751,-0.0246609,0.0127694,-0.0246609,0
0.228252,-0.0209618,0.228252,-0.0209618,0
-0.0255387,-0.0739827,-0.0255387,-0.0739827,0
0.353551,0.276202,0.163607,0.10111,0
0.544294,0.357583,0.291301,0.187423,0
0.539505,0.394575,0.35435,0.240444,0
0.527534,0.381011,0.391061,0.270037,0
0.520351,0.38471,0.520351,0.38471,0
0.523543,0.409371,0.523543,0.409371,0
0.505986,0.37238,0.514765,0.390875,0
0.531524,0.376079,0.520351,0.385943,0
0.640064,0.393342,0.550678,0.387176,0
0.590583,0.377312,0.558659,0.385943,0
0.588986,0.382244,0.564246,0.38471,1
0.589785,0.390875,0.568236,0.385943,1
0.612929,0.41307,0.574621,0.389642,1
0.593775,0.363748,0.577015,0.385943,1
0.606544,0.378545,0.580208,0.385943,1
0.644054,0.363748,0.58739,0.383477,1
0.640862,0.381011,0.592179,0.383477,1
0.648843,0.35635,0.597765,0.381011,1
0.648843,0.369914,0.602554,0.379778,1
0.596967,0.394575,0.602554,0.381011,1
0.642458,0.363748,0.606544,0.379778,1
0.638468,0.368681,0.609737,0.378545,1
0.652035,0.371147,0.612929,0.377312,1
0.599362,0.369914,0.612929,0.377312,1
0.605746,0.415536,0.612929,0.379778,1
0.63767,0.379778,0.615323,0.379778,1
0.647247,0.38471,0.617718,0.379778,1
0.653631,0.358816,0.62091,0.378545,1
0.757382,0.256473,0.942538,0.192355,0
0.756584,0.27127,0.879489,0.218249,0
0.754988,0.266338,0.847566,0.23058,0
0.873903,0.246609,0.873903,0.246609,0
0.847566,0.249075,0.860335,0.247842,0
0.861931,0.251541,0.861133,0.249075,0
0.819633,0.245376,0.850758,0.247842,0
0.847566,0.257707,0.84996,0.250308,0
0.861133,0.239211,0.851556,0.247842,1
0.864326,0.252774,0.853951,0.249075,1
0.869912,0.247842,0.855547,0.249075,1
0.848364,0.240444,0.854749,0.247842,1
0.861931,0.244143,0.855547,0.247842,1
0.868316,0.247842,0.857143,0.247842,1
0.84996,0.239211,0.856345,0.246609,1
0.830008,0.245376,0.853951,0.246609,1
0.853951,0.257707,0.853951,0.247842,1
0.854749,0.261406,0.853951,0.249075,1
0.853152,0.246609,0.853951,0.247842,1
0.759777,0.257707,0.846768,0.249075,1
0.69593,0.245376,0.69593,0.245376,0
0.656026,0.277435,0.656026,0.277435,0
0.685555,0.251541,0.671189,0.263872,0
0.644852,0.212084,0.66241,0.246609,0
0.679968,0.244143,0.666401,0.246609,0
0.629689,0.231813,0.659218,0.24291,0
0.627294,0.224414,0.653631,0.239211,1
0.679968,0.231813,0.657622,0.237978,1
0.675978,0.228113,0.660016,0.236745,1
0.635275,0.277435,0.656824,0.241677,1
0.631285,0.262639,0.654429,0.244143,1
0.636872,0.256473,0.652035,0.245376,1
0.63767,0.265105,0.650439,0.246609,1
0.691141,0.254007,0.654429,0.247842,1
0.691141,0.240444,0.656824,0.247842,1
0.640862,0.235512,0.656026,0.246609,1
0.686353,0.250308,0.65842,0.246609,1
0.67917,0.239211,0.660016,0.246609,1
0.30008,0.371147,0.528332,0.361282,0
0.515563,0.334155,0.523543,0.352651,0
0.223464,0.393342,0.223464,0.393342,0
0.228252,0.403206,0.243416,0.403206,0
0.238627,0.388409,0.243416,0.40074,1
0.240223,0.390875,0.243416,0.399507,1
0.233839,0.381011,0.24182,0.398274,1
0.457302,0.369914,0.457302,0.369914,0
0.464485,0.360049,0.464485,0.360049,0
0.280128,0.234279,0.280128,0.234279,0
0.495611,0.244143,0.387869,0.239211,0
0.291301,0.245376,0.355946,0.241677,0
0.291301,0.25524,0.339984,0.245376,0
0.495611,0.236745,0.371109,0.24291,0
0.285714,0.234279,0.285714,0.234279,0
0.277733,0.249075,0.277733,0.249075,0
0.28731,0.229346,0.282522,0.239211,0
0.274541,0.219482,0.280128,0.233046,0
0.286512,0.261406,0.281724,0.240444,0
0.277733,0.246609,0.280926,0.241677,0
0.494014,0.213317,0.494014,0.213317,0
0.502793,0.220715,0.502793,0.220715,0
0.271349,0.218249,0.387071,0.219482,0
0.294493,0.251541,0.355946,0.23058,0
0.282522,0.250308,0.336792,0.235512,0
0.499601,0.256473,0.369513,0.239211,0
0.285714,0.25524,0.355148,0.24291,1
0.49162,0.263872,0.3751,0.245376,1
0.280128,0.241677,0.363128,0.245376,1
0.284118,0.252774,0.284118,0.252774,0
0.499601,0.202219,0.499601,0.202219,0
0.28332,0.239211,0.391061,0.220715,0
0.292099,0.25894,0.35834,0.234279,0
0.505188,0.224414,0.395052,0.231813,0
0.276935,0.250308,0.281724,0.246609,0
0.280128,0.261406,0.281724,0.250308,0
