DoubleRing,Phone,QWERTY,SingleRing
5496,3931,2298,5828
2198,1898,1366,1864
3997,3198,2764,7493
4429,6561,4264,10392
6961,4564,2798,6994
4629,3598,2865,4863
4497,2831,1429,6295
2364,2465,866,4196
1765,6463,3931,1765
5630,5696,2532,9458
6795,766,1099,6095
1232,5029,2298,1198
6528,1732,1732,6593
2201,4096,1999,3265
3997,3497,1865,7395
3164,1100,1066,3297
1333,866,1498,2232
1099,8993,5228,1699
9792,2098,1732,10824
1698,1399,567,2599
932,1265,866,1467
932,3298,1200,1064
2332,3797,1832,2831
3131,2564,1432,4197
1632,3997,3497,2296
3897,2531,2098,4397
1800,2264,1266,2198
1299,1600,766,2464
666,2699,1765,1565
2465,5962,2231,2997
4297,1833,1466,3664
2231,5263,2664,3797
5862,3464,2332,5796
4464,3265,2698,4697
3332,1532,700,3393
2964,3498,1965,3296
4563,2364,1733,2396
3931,4032,1927,6762
2065,2798,1233,4397
2233,3164,2598,3430
3363,1067,734,2432
1099,1999,1498,4131
1665,2597,1662,1666
1000,1132,832,1566
1066,2431,1400,3398
3065,2198,1465,1000
2631,3930,2132,3398
3330,3597,1567,2631
5796,2664,1765,2531
,,,
3221.387755,3134.408163,1908.591837,3963.306122
