Recording Name	2015_01_26
Start Date	26.01.2015
Start Time	12:48:16
Duration Time	00:00:02
World Camera Frames	61
World Camera Resolution	1280x720
Capture Software Version	v0.3.9.3-6-g07d7587
User	toshi
Platform	Darwin
Machine	70-16-41-155-wireles1x.bu.edu
Release	13.4.0
Version	Darwin Kernel Version 13.4.0: Sun Aug 17 19:50:11 PDT 2014; root:xnu-2422.115.4~1/RELEASE_X86_64
